,param,step,step_range,simulation,simulation_delta,actual base level,model base level
0,Aminoglycosides,0.0,-1.0,0.3553693521979813,0.07922728408955515,0.32925885811542627,0.3292812898978678
0,Aminoglycosides,0.1,-0.9,0.3467398244427987,0.05302012316079674,0.32925885811542627,0.3292812898978678
0,Aminoglycosides,0.2,-0.8,0.3436642930140795,0.04367998898653758,0.32925885811542627,0.3292812898978678
0,Aminoglycosides,0.3,-0.7,0.34373924757528695,0.04390761977974389,0.32925885811542627,0.3292812898978678
0,Aminoglycosides,0.4,-0.6,0.3433012712311766,0.04257752190431896,0.32925885811542627,0.3292812898978678
0,Aminoglycosides,0.5,-0.5,0.3450819690076539,0.047985353539786724,0.32925885811542627,0.3292812898978678
0,Aminoglycosides,0.6,-0.4,0.340058683355698,0.03273005114008454,0.32925885811542627,0.3292812898978678
0,Aminoglycosides,0.7,-0.30000000000000004,0.3382559097923994,0.027255177168782563,0.32925885811542627,0.3292812898978678
0,Aminoglycosides,0.8,-0.19999999999999996,0.33157452306446755,0.00696435915721505,0.32925885811542627,0.3292812898978678
0,Aminoglycosides,0.9,-0.09999999999999998,0.3295508378735017,0.0008185948728443027,0.32925885811542627,0.3292812898978678
0,Aminoglycosides,1.0,0.0,0.32928128989786776,0.0,0.32925885811542627,0.3292812898978678
0,Aminoglycosides,1.1,0.10000000000000009,0.33531449578871475,0.018322346504164644,0.32925885811542627,0.3292812898978678
0,Aminoglycosides,1.2,0.19999999999999996,0.33640254335541836,0.021626656831183366,0.32925885811542627,0.3292812898978678
0,Aminoglycosides,1.3,0.30000000000000004,0.34052819207391183,0.03415591022354314,0.32925885811542627,0.3292812898978678
0,Aminoglycosides,1.4,0.3999999999999999,0.3418082255461038,0.03804326584155904,0.32925885811542627,0.3292812898978678
0,Aminoglycosides,1.5,0.5,0.3446490666050341,0.04667066480434667,0.32925885811542627,0.3292812898978678
0,Aminoglycosides,1.6,0.6000000000000001,0.34673630893972546,0.05300944686918485,0.32925885811542627,0.3292812898978678
0,Aminoglycosides,1.7,0.7,0.34863221281255563,0.058767149875688096,0.32925885811542627,0.3292812898978678
0,Aminoglycosides,1.8,0.8,0.34979761444496227,0.062306378092293,0.32925885811542627,0.3292812898978678
0,Aminoglycosides,1.9,0.8999999999999999,0.35001561454193897,0.06296842632784361,0.32925885811542627,0.3292812898978678
0,Aminoglycosides,2.0,1.0,0.34889400367638823,0.05956218704258509,0.32925885811542627,0.3292812898978678
0,Carbapenems,0.0,-1.0,0.3288099484110611,-0.0014314250498498327,0.32925885811542627,0.3292812898978678
0,Carbapenems,0.1,-0.9,0.33161141046958575,0.007076383150833587,0.32925885811542627,0.3292812898978678
0,Carbapenems,0.2,-0.8,0.3305957505048793,0.003991907974544517,0.32925885811542627,0.3292812898978678
0,Carbapenems,0.3,-0.7,0.3316266788965308,0.007122752098640328,0.32925885811542627,0.3292812898978678
0,Carbapenems,0.4,-0.6,0.3319274796930321,0.00803625919949802,0.32925885811542627,0.3292812898978678
0,Carbapenems,0.5,-0.5,0.33065751293798784,0.004179475367540375,0.32925885811542627,0.3292812898978678
0,Carbapenems,0.6,-0.4,0.3300569277191472,0.0023555478099590577,0.32925885811542627,0.3292812898978678
0,Carbapenems,0.7,-0.30000000000000004,0.3303889493133414,0.0033638698871023553,0.32925885811542627,0.3292812898978678
0,Carbapenems,0.8,-0.19999999999999996,0.33292941982288093,0.011079068373865741,0.32925885811542627,0.3292812898978678
0,Carbapenems,0.9,-0.09999999999999998,0.330188480495038,0.002755062692604282,0.32925885811542627,0.3292812898978678
0,Carbapenems,1.0,0.0,0.32928128989786776,0.0,0.32925885811542627,0.3292812898978678
0,Carbapenems,1.1,0.10000000000000009,0.3296063936902354,0.0009873132860616085,0.32925885811542627,0.3292812898978678
0,Carbapenems,1.2,0.19999999999999996,0.33042592639577617,0.0034761662233024904,0.32925885811542627,0.3292812898978678
0,Carbapenems,1.3,0.30000000000000004,0.3274892297318908,-0.005442338271126168,0.32925885811542627,0.3292812898978678
0,Carbapenems,1.4,0.3999999999999999,0.33285816047105093,0.010862659625430204,0.32925885811542627,0.3292812898978678
0,Carbapenems,1.5,0.5,0.33551270823972296,0.018924301298102852,0.32925885811542627,0.3292812898978678
0,Carbapenems,1.6,0.6000000000000001,0.3462923230473331,0.051661098493454016,0.32925885811542627,0.3292812898978678
0,Carbapenems,1.7,0.7,0.34763811638906217,0.055748161387754847,0.32925885811542627,0.3292812898978678
0,Carbapenems,1.8,0.8,0.355359349393233,0.07919690640015964,0.32925885811542627,0.3292812898978678
0,Carbapenems,1.9,0.8999999999999999,0.3542801493818646,0.07591946536576866,0.32925885811542627,0.3292812898978678
0,Carbapenems,2.0,1.0,0.36270081382043545,0.10149232570406097,0.32925885811542627,0.3292812898978678
0,Cephalosporin 1,0.0,-1.0,0.34847868248592834,0.05830089099206015,0.32925885811542627,0.3292812898978678
0,Cephalosporin 1,0.1,-0.9,0.3462724768809709,0.05160082733025395,0.32925885811542627,0.3292812898978678
0,Cephalosporin 1,0.2,-0.8,0.34373124340994304,0.04388331179265359,0.32925885811542627,0.3292812898978678
0,Cephalosporin 1,0.3,-0.7,0.3450188296604461,0.04779360457273363,0.32925885811542627,0.3292812898978678
0,Cephalosporin 1,0.4,-0.6,0.3399917133262863,0.03252666870850929,0.32925885811542627,0.3292812898978678
0,Cephalosporin 1,0.5,-0.5,0.3380774164871177,0.026713107786896062,0.32925885811542627,0.3292812898978678
0,Cephalosporin 1,0.6,-0.4,0.3356484580344426,0.01933656217925317,0.32925885811542627,0.3292812898978678
